,subj_idx,stimulus,response,rt,signal_strength,drug
0,Antonio,1,1,1.4541268545165713,weak,placebo
1,Antonio,1,1,2.608427909570563,weak,placebo
2,Antonio,1,0,0.8229329360036731,weak,placebo
3,Antonio,1,0,0.5255588211650787,weak,placebo
4,Antonio,1,1,0.9812950116182194,weak,placebo
5,Antonio,1,1,1.022163470367617,weak,placebo
6,Antonio,1,0,1.279750131777815,weak,placebo
7,Antonio,1,0,0.6112763068209741,weak,placebo
8,Antonio,1,1,0.8946894835411001,weak,placebo
9,Antonio,1,0,0.779907167705784,weak,placebo
10,Antonio,1,0,0.8079444224183784,weak,placebo
11,Antonio,1,1,1.1543857078862112,weak,placebo
12,Antonio,1,0,0.8595532684722479,weak,placebo
13,Antonio,1,0,2.050305351990361,weak,placebo
14,Antonio,1,0,0.8070969451729615,weak,placebo
15,Antonio,1,0,1.5712943553330865,weak,placebo
16,Antonio,1,0,0.9156383076920609,weak,placebo
17,Antonio,1,0,0.586757800480147,weak,placebo
18,Antonio,1,1,0.9914396509345845,weak,placebo
19,Antonio,1,1,1.2119621448448445,weak,placebo
20,Antonio,1,0,1.216813911267796,weak,placebo
21,Antonio,1,0,1.012544723209416,weak,placebo
22,Antonio,1,0,0.6052112657466526,weak,placebo
23,Antonio,1,0,0.9971705856753598,weak,placebo
24,Antonio,1,1,0.5809422034243049,weak,placebo
25,Antonio,1,1,0.9551982487149342,weak,placebo
26,Antonio,1,0,0.7139431084328202,weak,placebo
27,Antonio,1,0,1.8220820198563596,weak,placebo
28,Antonio,1,0,1.2027050989752026,weak,placebo
29,Antonio,1,0,0.5846089396242735,weak,placebo
30,Antonio,1,0,0.6634011398874349,weak,placebo
31,Antonio,1,1,1.1533077004082526,weak,placebo
32,Antonio,1,0,1.154506637854884,weak,placebo
33,Antonio,1,0,0.6195232652548731,weak,placebo
34,Antonio,1,1,0.6874221619133688,weak,placebo
35,Antonio,1,1,2.0945149078251903,weak,placebo
36,Antonio,1,1,0.8565431509122797,weak,placebo
37,Antonio,1,0,1.2167725744188673,weak,placebo
38,Antonio,1,0,0.5184290887774696,weak,placebo
39,Antonio,1,0,0.6160598975535206,weak,placebo
40,Antonio,1,0,1.1671633427876855,weak,placebo
41,Antonio,1,0,0.5394147793667747,weak,placebo
42,Antonio,1,1,0.9370677045013972,weak,placebo
43,Antonio,1,0,0.5567194730054652,weak,placebo
44,Antonio,1,1,0.9610503696378656,weak,placebo
